root-logging.INFO-139695664756480-2019-12-11 00:37:35,676-load all representations, len(ufiles)=12, len(vfiles)=12, ufiles=ratings_only_user.dat|URPSRUB_top500_user.dat|URNSRUB_top500_user.dat|UPBCatB_top500_user.dat|UPBStarsB_top500_user.dat|UPBStateB_top500_user.dat|UPBCityB_top500_user.dat|UPBUB_top500_user.dat|UNBUB_top500_user.dat|UUB_top500_user.dat|URPARUB_top500_user.dat|URNARUB_top500_user.dat, vfiles=ratings_only_item.dat|URPSRUB_top500_item.dat|URNSRUB_top500_item.dat|UPBCatB_top500_item.dat|UPBStarsB_top500_item.dat|UPBStateB_top500_item.dat|UPBCityB_top500_item.dat|UPBUB_top500_item.dat|UNBUB_top500_item.dat|UUB_top500_item.dat|URPARUB_top500_item.dat|URNARUB_top500_item.dat
root-logging.INFO-139695664756480-2019-12-11 00:37:35,994-******
{'sn': 1, 'data_dir': 'data/yelp-50k/exp_split/1/', 'topK': 500, 'reg_Q': 1e-05, 'config_filename': 'config/yelp-50k.yaml', 'solver': 'nmAPG', 'L': 12, 'reg_P': 1e-05, 'reg': 0.5, 'log_filename': 'log/fmg_yelp-50k_vary_reg_split1.log', 'N': 240, 'ln': 1000, 'F': 10, 'max_iters': 10000, 'reg_W': 1e-05, 'test_filename': 'ratings_test_1.txt', 'eta': 1e-07, 'meta_graphs': ['ratings_only', 'URPSRUB', 'URNSRUB', 'UPBCatB', 'UPBStarsB', 'UPBStateB', 'UPBCityB', 'UPBUB', 'UNBUB', 'UUB', 'URPARUB', 'URNARUB'], 'initial': 0.001, 'dt': 'yelp-50k', 'exp_type': 'vary_reg', 'eps': 1e-08, 'train_filename': 'ratings_train_1.txt', 'bias': 0, 'bias_eta': 1e-07, 'exp_id': 1575995852, 'K': 10, 'config': 'config/yelp-50k.yaml'}
******
root-logging.INFO-139695664756480-2019-12-11 00:37:35,995-start solving by _block_nonmono_acc_proximal_gradient_descent
root-logging.INFO-139695664756480-2019-12-11 00:37:38,524-exp_id=1575995852, iter=0, (lt1,eta1,lt2,eta2)=(0,1.1e-07,0,1e-07), obj=6.33644(0.04297712), rmse=2.41423, mae=1.43540, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:40,925-exp_id=1575995852, iter=1, (lt1,eta1,lt2,eta2)=(0,1.21e-07,0,1e-07), obj=6.06412(0.04489938), rmse=2.36383, mae=1.42066, cost=2.40 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:43,285-exp_id=1575995852, iter=2, (lt1,eta1,lt2,eta2)=(0,1.3310000000000002e-07,0,1e-07), obj=5.79184(0.05825708), rmse=2.31231, mae=1.40547, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:45,674-exp_id=1575995852, iter=3, (lt1,eta1,lt2,eta2)=(0,1.4641000000000003e-07,0,1e-07), obj=5.45442(0.07062080), rmse=2.24679, mae=1.38599, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:48,034-exp_id=1575995852, iter=4, (lt1,eta1,lt2,eta2)=(0,1.6105100000000003e-07,0,1e-07), obj=5.06923(0.08150478), rmse=2.16950, mae=1.36276, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:50,392-exp_id=1575995852, iter=5, (lt1,eta1,lt2,eta2)=(0,1.7715610000000005e-07,0,1e-07), obj=4.65606(0.09037782), rmse=2.08333, mae=1.33643, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:52,781-exp_id=1575995852, iter=6, (lt1,eta1,lt2,eta2)=(0,1.9487171000000006e-07,0,1e-07), obj=4.23526(0.09673895), rmse=1.99162, mae=1.30789, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:55,144-exp_id=1575995852, iter=7, (lt1,eta1,lt2,eta2)=(0,2.143588810000001e-07,0,1e-07), obj=3.82554(0.10018094), rmse=1.89793, mae=1.27814, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:57,502-exp_id=1575995852, iter=8, (lt1,eta1,lt2,eta2)=(0,2.357947691000001e-07,0,1e-07), obj=3.44230(0.10045423), rmse=1.80572, mae=1.24790, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:37:59,861-exp_id=1575995852, iter=9, (lt1,eta1,lt2,eta2)=(0,2.5937424601000015e-07,0,1e-07), obj=3.09650(0.09752842), rmse=1.71808, mae=1.21793, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:02,237-exp_id=1575995852, iter=10, (lt1,eta1,lt2,eta2)=(0,2.853116706110002e-07,0,1e-07), obj=2.79451(0.09163776), rmse=1.63750, mae=1.18901, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:04,606-exp_id=1575995852, iter=11, (lt1,eta1,lt2,eta2)=(0,3.1384283767210024e-07,0,1e-07), obj=2.53842(0.08328955), rmse=1.56571, mae=1.16172, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:06,964-exp_id=1575995852, iter=12, (lt1,eta1,lt2,eta2)=(0,3.452271214393103e-07,0,1e-07), obj=2.32700(0.07321710), rmse=1.50364, mae=1.13758, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:09,329-exp_id=1575995852, iter=13, (lt1,eta1,lt2,eta2)=(0,3.797498335832414e-07,0,1e-07), obj=2.15662(0.06227603), rmse=1.45148, mae=1.11722, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:11,696-exp_id=1575995852, iter=14, (lt1,eta1,lt2,eta2)=(0,4.177248169415656e-07,0,1e-07), obj=2.02232(0.05130844), rmse=1.40881, mae=1.09942, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:14,057-exp_id=1575995852, iter=15, (lt1,eta1,lt2,eta2)=(0,4.594972986357222e-07,0,1e-07), obj=1.91856(0.04101686), rmse=1.37474, mae=1.08415, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:16,422-exp_id=1575995852, iter=16, (lt1,eta1,lt2,eta2)=(0,5.054470284992945e-07,0,1e-07), obj=1.83986(0.03188568), rmse=1.34817, mae=1.07146, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:18,791-exp_id=1575995852, iter=17, (lt1,eta1,lt2,eta2)=(0,5.55991731349224e-07,0,1e-07), obj=1.78120(0.02416466), rmse=1.32785, mae=1.06140, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:21,166-exp_id=1575995852, iter=18, (lt1,eta1,lt2,eta2)=(0,6.115909044841464e-07,0,1e-07), obj=1.73816(0.01790288), rmse=1.31261, mae=1.05358, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:23,528-exp_id=1575995852, iter=19, (lt1,eta1,lt2,eta2)=(0,6.727499949325611e-07,0,1e-07), obj=1.70704(0.01300826), rmse=1.30134, mae=1.04758, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:25,920-exp_id=1575995852, iter=20, (lt1,eta1,lt2,eta2)=(0,7.400249944258173e-07,0,1e-07), obj=1.68483(0.00930889), rmse=1.29312, mae=1.04333, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:28,291-exp_id=1575995852, iter=21, (lt1,eta1,lt2,eta2)=(0,8.140274938683991e-07,0,1e-07), obj=1.66915(0.00660199), rmse=1.28717, mae=1.04014, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:30,686-exp_id=1575995852, iter=22, (lt1,eta1,lt2,eta2)=(0,8.95430243255239e-07,0,1e-07), obj=1.65813(0.00468599), rmse=1.28287, mae=1.03757, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:33,052-exp_id=1575995852, iter=23, (lt1,eta1,lt2,eta2)=(0,9.84973267580763e-07,0,1e-07), obj=1.65036(0.00337786), rmse=1.27975, mae=1.03571, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:35,445-exp_id=1575995852, iter=24, (lt1,eta1,lt2,eta2)=(0,1.0834705943388394e-06,0,1e-07), obj=1.64478(0.00251969), rmse=1.27743, mae=1.03423, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:37,808-exp_id=1575995852, iter=25, (lt1,eta1,lt2,eta2)=(0,1.1918176537727233e-06,0,1e-07), obj=1.64064(0.00197931), rmse=1.27564, mae=1.03355, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:40,175-exp_id=1575995852, iter=26, (lt1,eta1,lt2,eta2)=(0,1.3109994191499957e-06,0,1e-07), obj=1.63739(0.00164805), rmse=1.27421, mae=1.03314, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:42,542-exp_id=1575995852, iter=27, (lt1,eta1,lt2,eta2)=(0,1.4420993610649954e-06,0,1e-07), obj=1.63469(0.00143830), rmse=1.27299, mae=1.03252, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:44,904-exp_id=1575995852, iter=28, (lt1,eta1,lt2,eta2)=(0,1.586309297171495e-06,0,1e-07), obj=1.63234(0.00128177), rmse=1.27193, mae=1.03178, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:47,261-exp_id=1575995852, iter=29, (lt1,eta1,lt2,eta2)=(0,1.7449402268886447e-06,0,1e-07), obj=1.63025(0.00112912), rmse=1.27099, mae=1.03091, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:49,646-exp_id=1575995852, iter=30, (lt1,eta1,lt2,eta2)=(0,1.9194342495775094e-06,0,1e-07), obj=1.62841(0.00095058), rmse=1.27016, mae=1.03007, cost=2.38 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:52,008-exp_id=1575995852, iter=31, (lt1,eta1,lt2,eta2)=(0,2.1113776745352604e-06,0,1e-07), obj=1.62686(0.00073657), rmse=1.26947, mae=1.02930, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:54,395-exp_id=1575995852, iter=32, (lt1,eta1,lt2,eta2)=(0,2.3225154419887867e-06,0,1e-07), obj=1.62566(0.00049701), rmse=1.26893, mae=1.02862, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:56,766-exp_id=1575995852, iter=33, (lt1,eta1,lt2,eta2)=(0,2.5547669861876656e-06,0,1e-07), obj=1.62485(0.00025772), rmse=1.26855, mae=1.02843, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:38:59,126-exp_id=1575995852, iter=34, (lt1,eta1,lt2,eta2)=(0,2.8102436848064324e-06,0,1e-07), obj=1.62444(0.00005303), rmse=1.26833, mae=1.02854, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:01,485-exp_id=1575995852, iter=35, (lt1,eta1,lt2,eta2)=(0,3.091268053287076e-06,0,1e-07), obj=1.62435(0.00008504), rmse=1.26825, mae=1.02876, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:06,143-exp_id=1575995852, iter=36, (lt1,eta1,lt2,eta2)=(0,3.400394858615784e-06,0,1.1e-07), obj=1.62449(0.00000071), rmse=1.26826, mae=1.02900, cost=4.66 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:10,798-exp_id=1575995852, iter=37, (lt1,eta1,lt2,eta2)=(0,3.7404343444773626e-06,0,1.21e-07), obj=1.62449(0.00000078), rmse=1.26826, mae=1.02899, cost=4.65 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:15,466-exp_id=1575995852, iter=38, (lt1,eta1,lt2,eta2)=(0,4.1144777789250995e-06,0,1.3310000000000002e-07), obj=1.62449(0.00000086), rmse=1.26826, mae=1.02899, cost=4.67 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:17,859-exp_id=1575995852, iter=39, (lt1,eta1,lt2,eta2)=(0,4.52592555681761e-06,0,1.3310000000000002e-07), obj=1.62448(0.00000018), rmse=1.26826, mae=1.02899, cost=2.39 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:20,228-exp_id=1575995852, iter=40, (lt1,eta1,lt2,eta2)=(0,4.978518112499371e-06,0,1.3310000000000002e-07), obj=1.62448(0.00003862), rmse=1.26824, mae=1.02904, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:22,590-exp_id=1575995852, iter=41, (lt1,eta1,lt2,eta2)=(0,5.476369923749309e-06,0,1.3310000000000002e-07), obj=1.62442(0.00007586), rmse=1.26821, mae=1.02902, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:24,952-exp_id=1575995852, iter=42, (lt1,eta1,lt2,eta2)=(0,6.024006916124241e-06,0,1.3310000000000002e-07), obj=1.62430(0.00009774), rmse=1.26816, mae=1.02892, cost=2.36 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:27,327-exp_id=1575995852, iter=43, (lt1,eta1,lt2,eta2)=(0,6.626407607736665e-06,0,1.3310000000000002e-07), obj=1.62414(0.00009889), rmse=1.26810, mae=1.02876, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:29,700-exp_id=1575995852, iter=44, (lt1,eta1,lt2,eta2)=(0,7.289048368510332e-06,0,1.3310000000000002e-07), obj=1.62398(0.00008345), rmse=1.26805, mae=1.02853, cost=2.37 seconds
root-logging.INFO-139695664756480-2019-12-11 00:39:32,093-exp_id=1575995852, iter=45, (lt1,eta1,lt2,eta2)=(0,8.017953205361366e-06,0,1.3310000000000002e-07), obj=1.62384(0.00006110), rmse=1.26801, mae=1.02837, cost=2.39 seconds
