root-logging.INFO-139968184391424-2019-12-10 17:24:32,217-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-139968184391424-2019-12-10 17:25:24,561-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140205497603840-2019-12-10 17:48:22,689-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-140205497603840-2019-12-10 17:49:13,662-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140279567456000-2019-12-10 17:53:06,124-data: data/yelp-50k/exp_split/1/, path_str: all
root-logging.INFO-140279567456000-2019-12-10 17:53:56,632-MF running: parras: K=10, reg=10, lr=10, silent_run=False
root-logging.INFO-140279567456000-2019-12-10 17:53:59,233-iter=0, obj=24908355.6611(0.30%), ls:((9.5000, 0), (9.5000, 0)), train_rmse=2.7497, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:04,293-iter=1, obj=24833812.2871(61.36%), ls:((231.3009, 8), (231.3009, 8)), train_rmse=1.7022, time:5.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:08,952-iter=2, obj=9595857.2561(0.82%), ls:((3754.3927, 7), (3754.3927, 7)), train_rmse=1.6976, time:4.7s
root-logging.INFO-140279567456000-2019-12-10 17:54:10,057-iter=3, obj=9517101.7532(5.17%), ls:((3566.6731, 0), (3566.6731, 0)), train_rmse=1.6471, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:12,152-iter=4, obj=9024724.8759(27.87%), ls:((7623.7638, 2), (7623.7638, 2)), train_rmse=1.4008, time:2.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:13,265-iter=5, obj=6509580.8832(31.26%), ls:((7242.5756, 0), (7242.5756, 0)), train_rmse=1.1554, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:14,377-iter=6, obj=4474469.8710(5.97%), ls:((6880.4468, 0), (6880.4468, 0)), train_rmse=1.1197, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:15,763-iter=7, obj=4207546.1759(6.04%), ls:((6536.4245, 0), (6536.4245, 0)), train_rmse=1.0840, time:1.4s
root-logging.INFO-140279567456000-2019-12-10 17:54:16,918-iter=8, obj=3953478.3703(6.18%), ls:((6209.6032, 0), (6209.6032, 0)), train_rmse=1.0488, time:1.2s
root-logging.INFO-140279567456000-2019-12-10 17:54:18,021-iter=9, obj=3709147.7065(6.15%), ls:((5899.1231, 0), (5899.1231, 0)), train_rmse=1.0146, time:1.1s
root-logging.INFO-140279567456000-2019-12-10 17:54:19,129-iter=10, obj=3480866.2964(5.85%), ls:((5604.1669, 0), (5604.1669, 0)), train_rmse=0.9832, time:1.1s
